"filename", "language", "TypeScript", "XML", "TypeScript JSX", "CSS", "JavaScript", "JSON with Comments", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/component/TableComponent.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 3, 25
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/config/api.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/constant.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/index.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 0, 0, 69, 4, 86
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/main.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/state/AuthSlice.ts", "TypeScript", 180, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 201
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/state/admin/adminOrderSlice.ts", "TypeScript", 178, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 194
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/state/admin/adminUserSlice.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 63
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/state/admin/productSlice.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 132
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/state/admin/transactionSlice.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 62
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/state/store.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/state/user/orderSlice.ts", "TypeScript", 253, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18, 277
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/state/user/userCartSlice.ts", "TypeScript", 192, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20, 218
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/state/user/userProductSlice.ts", "TypeScript", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 136
"/Users/amirul/Desktop/code/workoutapp/workout/react-ts/src/state/user/userSlice.ts", "TypeScript", 188, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 207
